question,solution
"80 write a program to print EVEN length words of a string 
","str = ""Python is a programming language""

words = list(str.split(' '))

print ""str: "", str
print ""list converted string: "", words
print ""EVEN length words:""
for W in words:
	if(len(W)%2==0 ):
		print W
        
"
"81 write a program to create N copies of a given string 
","
str1 = ""Hello""
n = 3

str2 = str1 * 3 

print ""str1: "", str1 
print ""str2: "", str2

"
"82 write a program to extract the mobile number from the given string in Python
","

import re

string='''hello you can call me at 018002089898.'''

Phonenumber=re.compile(r'\d\d\d\d\d\d\d\d\d\d\d\d')
m=Phonenumber.search(string)

print('mobile number found from the string : ',m.group())

"
"83 write a program to Capitalizes the first letter of each word in a string
","
def capitalize(text):
  return text.title()

str1 = ""Hello world!""
str2 = ""hello world!""
str3 = ""HELLO WORLD!""
str4 = ""includehelp.com is a tutorials site""

print(""str1: "", str1)
print(""str2: "", str2)
print(""str3: "", str3)
print(""str4: "", str4)
print()

"
"84 write a program to design a dice throw function
","
import random

def dice():
    return random.choice([1,2,3,4,5,6])
    
"
"85 write a program to print perfect numbers from the given list of integers
","
def checkPerfectNum(n) :
	i = 2;sum = 1;

	while(i <= n//2 ) :
		if (n % i == 0) :
			sum += i			
		
		i += 1
		if sum == n :
			print(n,end=' ')

if __name__ == ""__main__"" :

	print(""Enter list of integers: "")
	list_of_intgers = list(map(int,input().split()))

	print(""Given list of integers:"",list_of_intgers)

	print(""Perfect numbers present in the list is: "")
	for num in list_of_intgers :
		checkPerfectNum(num)
        
"
"86 write a program to convert meters into yards
","num = float(input(""Enter the distance measured in centimeter : ""))

inc = num/2.54 
print(""Distance in inch : "", inc)

"
"87 write a program Tower of Hanoi 
","
def hanoi(x):
    global repN
    repN += 1
    if x == 1:
        return 2
    
    else:
        return 3*hanoi(x-1) + 2
    
x = int(input(""ENTER THE NUMBER OF DISKS: ""))

global repN
repN =0

print('NUMBER OF STEPS: ', hanoi(x), ' :', repN)

"
"88 write a program to find variance of a dataset
","
def variance(X):
    mean = sum(X)/len(X)
    tot = 0.0
    for x in X:
        tot = tot + (x - mean)**2
    return tot/len(X)


 
sample = [1, 2, 3, 4, 5] 
print(""variance of the sample is: "", variance(sample))

"
"89 write a program to find winner of the day
","
def find_winner_of_the_day(*match_tuple):
    team1_count = 0
    team2_count = 0
     
    for team_name in match_tuple :
         
        if team_name == ""Team1"" :
            team1_count += 1
        else :
            team2_count += 1
             
    if team1_count == team2_count :
        return ""Tie""
         
    elif team1_count > team2_count :
        return ""Team1""
     
    else :
        return ""Team2""
     
     
if __name__ == ""__main__"" :
     
    print(find_winner_of_the_day(""Team1"",""Team2"",""Team1""))
    print(find_winner_of_the_day(""Team1"",""Team2"",""Team1"",""Team2""))
    print(find_winner_of_the_day(""Team1"",""Team2"",""Team2"",""Team1"",""Team2""))
    
"
"90 write a program for swapping the value of two integers without third variable
","
x = int(input(""Enter the value of x :""))
y = int(input(""Enter the value of y :""))

(x,y) = (y,x)

print('Value of x: ', x, '\nValue of y: ', y, '\nWOO!! Values SWAPPEDDD')

"
"91 write a program to check eligibility for voting
","

age = int(input(""Enter Age : ""))

if age>=18:
        status=""Eligible""
else:
    status=""Not Eligible""

print(""You are "",status,"" for Vote."")

"
"92 write a program to print the version information
","
import sys

print(""Python version: "", sys.version)
print(""Python version info: "", sys.version_info)

"
"93 write a program to find sum of all digits of a number
","
def sumDigits(num):
  if num == 0:
    return 0
  else:
    return num % 10 + sumDigits(int(num / 10))

x = 0
print(""Number: "", x)
print(""Sum of digits: "", sumDigits(x))
print()

"
"94 write a program to print double quotes with the string variable
","str1 = ""Hello world"";

print(""\""%s\"""" % str1)
print('""%s""' % str1)
print('""{}""'.format(str1))

"
"95 write a program to Remove leading zeros from an IP address
","
import re
def removeLeadingZeros(ip):
    modified_ip = re.sub(regex, '.', ip)
    print(modified_ip)


if __name__ == '__main__' : 
	
	ip = ""216.08.094.196""
	removeLeadingZeros(ip)

"
"96 write a program for binary search
","
def binary_search(l, num_find):

    start = 0
    end = len(l) - 1
    mid = (start + end) // 2
    
    found = False
    position = -1

    while start <= end:
        if l[mid] == num_find:
            found = True
            position = mid
            break
        
        if num_find > l[mid]:
            start = mid + 1
            mid = (start + end) // 2
        else:
            end = mid - 1
            mid = (start + end) // 2

    return (found, position)

if __name__=='__main__':
    
    l = [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
    num = 6
    found = binary_search(l, num)
    if found[0]:
        print('Number %d found at position %d'%(num, found[1]+1))
    else:
        print('Number %d not found'%num)
        
"
"97 write a program to copy odd lines of one file to another file
","
file1 = open('file1.txt', 'r') 
file2 = open('file2.txt', 'w') 

lines = file1.readlines() 
type(lines) 
for i in range(0, len(lines)): 
	if(i % 2 != 0): 
		file2.write(lines[i]) 

file1.close()
file2.close() 

file1 = open('file1.txt', 'r') 
file2 = open('file2.txt', 'r') 

str1 = file1.read()
str2 = file2.read()

print(""file1 content..."")
print(str1)

print() # to print new line

print(""file2 content..."")
print(str2)

file1.close()
file2.close()

"
"98 write a program to reverse a string that contains digits in Python
","
def reverse(n):
    s=str(n) 
    p=s[::-1]
    return p 

num = int(input('Enter a positive value: '))
print('The reverse integer:',reverse(num))

"
"99 write a program to input a string and find total number uppercase and lowercase letters
","
print(""Input a string: "")
str1 = input()

no_of_ucase, no_of_lcase = 0,0

for c in str1:
    if c>='A' and c<='Z':
        no_of_ucase += 1
    if c>='a' and c<='z':
        no_of_lcase += 1

print(""Input string is: "", str1)
print(""Total number of uppercase letters: "", no_of_ucase)
print(""Total number of lowercase letters: "", no_of_lcase)

"
"100 write a program to input a string and find total number of letters and digits
","
print(""Input a string: "")
str1 = input()

no_of_letters, no_of_digits = 0,0

for c in str1:
    if (c>='a' and c<='z') or (c>='A' and c<='Z'):
        no_of_letters += 1
    if c>='0' and c<='9':
        no_of_digits += 1

print(""Input string is: "", str1)
print(""Total number of letters: "", no_of_letters)
print(""Total number of digits: "", no_of_digits)

"
" Write a python function to implement tower of hanoi
","
def hanoi(disks, source, auxiliary, target):
    if disks == 1:
        print('Move disk 1 from peg {} to peg {}.'.format(source, target))
        return
 
    hanoi(disks - 1, source, target, auxiliary)
    print('Move disk {} from peg {} to peg {}.'.format(disks, source, target))
    hanoi(disks - 1, auxiliary, source, target)


"
" Write a python program to implement a Stack using One Queue
","
class Stack:
    def __init__(self):
        self.q = Queue()
 
    def is_empty(self):
        return self.q.is_empty()
 
    def push(self, data):
        self.q.enqueue(data)
 
    def pop(self):
        for _ in range(self.q.get_size() - 1):
            dequeued = self.q.dequeue()
            self.q.enqueue(dequeued)
        return self.q.dequeue()
 
 
class Queue:
    def __init__(self):
        self.items = []
        self.size = 0
 
    def is_empty(self):
        return self.items == []
 
    def enqueue(self, data):
        self.size += 1
        self.items.append(data)
 
    def dequeue(self):
        self.size -= 1
        return self.items.pop(0)
 
    def get_size(self):
        return self.size
 
 
s = Stack()
 
print('Menu')
print('push <value>')
print('pop')
print('quit')
 
while True:
    do = input('What would you like to do? ').split()
 
    operation = do[0].strip().lower()
    if operation == 'push':
        s.push(int(do[1]))
    elif operation == 'pop':
        if s.is_empty():
            print('Stack is empty.')
        else:
            print('Popped value: ', s.pop())
    elif operation == 'quit':
        break

"
" Write a python program to implement Dequeue
","
class Dequeue:
    def __init__(self):
        self.items = []
 
    def is_empty(self):
        return self.items == []
 
    def append(self, data):
        self.items.append(data)
 
    def append_left(self, data):
        self.items.insert(0, data)
 
    def pop(self):
        return self.items.pop()
 
    def pop_left(self):
        return self.items.pop(0)
 
 
q = Dequeue()
print('Menu')
print('append <value>')
print('appendleft <value>')
print('pop')
print('popleft')
print('quit')
 
while True:
    do = input('What would you like to do? ').split()
 
    operation = do[0].strip().lower()
    if operation == 'append':
        q.append(int(do[1]))
    elif operation == 'appendleft':
        q.append_left(int(do[1]))
    elif operation == 'pop':
        if q.is_empty():
            print('Dequeue is empty.')
        else:
            print('Popped value from right: ', q.pop())
    elif operation == 'popleft':
        if q.is_empty():
            print('Dequeue is empty.')
        else:
            print('Popped value from left: ', q.pop_left())
    elif operation == 'quit':
        break

"
" Write a python program to Check and print if string is palindrome using Stack
","
class Stack:
    def __init__(self):
        self.items = []
 
    def is_empty(self):
        return self.items == []
 
    def push(self, data):
        self.items.append(data)
 
    def pop(self):
        return self.items.pop()
 
 
s = Stack()
text = ""ABA""
 
for character in text:
    s.push(character)
 
reversed_text = ''
while not s.is_empty():
    reversed_text = reversed_text + s.pop()
 
if text == reversed_text:
    print('The string is a palindrome.')
else:
    print('The string is not a palindrome.')

"
